,Label,mean_1,mean_2,mean_3,mean_4,median_1,median_2,median_3,median_4,sd_1,sd_2,sd_3,sd_4,min_1,min_2,min_3,min_4,max_1,max_2,max_3,max_4
263,run,34904.46238,36793.878,36449.26144,34904.46238,34908,37716,36596,34908,2746.098778,4321.981112,4165.403113,2746.098778,28126,26328,20900,28126,40276,43744,44152,40276
264,jump-two-leg,35462.94656,36467.48,36615.7181,35462.94656,34516,33945,34712,34516,1840.497966,4573.507336,4069.653269,1840.497966,33336,30728,32360,33336,38608,43624,46684,38608
265,curve-left-step,35690.77082,35018.60383,34881.61414,35690.77082,35104,34528,34692,35104,1467.979588,1940.072301,1784.088006,1467.979588,32712,31712,30776,32712,38817,39584,39189,38817
266,curve-right-spin-Lfirst,34826,34420.10549,35505.41099,34826,34908,34378,35113,34908,284.1170825,151.8658907,1245.066396,284.1170825,34256,34200,34208,34256,35184,34776,38190,35184
267,v-cut-left-Lfirst,34574.27848,35381.72632,38576.85895,34574.27848,34712,35436,38193,34712,371.5078675,3524.560356,2115.663862,371.5078675,33436,29208,33248,33436,35076,40608,41998,35076
268,v-cut-right-Rfirst,35464.30233,33877.98841,36493.32464,35464.30233,36192,34316,36516,36192,1483.24938,4159.197366,3548.873104,1483.24938,32232,11800,25474,32232,36964,36928,45580,36964
269,walk,34955.77409,35336.6805,35500.60249,34955.77409,34880,35190,35284,34880,1276.414474,1503.02993,2011.130715,1276.414474,31980,32586,30748,31980,39584,39432,39801,39584
270,curve-right-spin-Rfirst,35456.15457,33832.23364,34159.16822,35456.15457,35593,34032,34072,35593,1366.308487,1191.694754,747.1941267,1366.308487,33812,30748,31072,33812,37688,35692,35524,37688
271,stair-up,35483.59801,35618.18412,35678.60108,35483.59801,35160,35244,35521,35160,2503.637919,2171.6031,2417.852033,2503.637919,29785,30268,30464,29785,44784,42342,44792,44784
272,sit-to-stand,35693.22203,36183.92893,35216.78173,35693.22203,35697,36472,35144,35697,96.2884912,786.4605015,449.6566163,96.2884912,35147,34032,34644,35147,35852,37040,36138,35852
273,curve-right-spin-Rfirst,35334.20362,33333.86005,33907.84424,35334.20362,35432,33600,34088,35432,1235.886221,954.4434536,1008.780874,1235.886221,33437,30792,30469,33437,37424,34810,34936,37424
274,curve-left-spin-Lfirst,34611.0951,35968.82014,35331.15971,34611.0951,34581,36500,34780,34581,308.0165747,1326.718874,806.0727448,308.0165747,34032,33648,34353,34032,35116,37796,37437,35116
275,run,34496.60924,36288.34418,36327.97272,34496.60924,34909,37996,36874,34909,2041.492908,4177.636833,3585.686897,2041.492908,28938,25108,26124,28938,38152,41936,41920,38152
276,stair-down,35761.80171,36123.80929,35859.22005,35761.80171,35465,36016,35652,35465,2155.921731,2408.746113,2439.066881,2155.921731,32750,27896,29784,32750,42260,40828,41408,42260
277,stair-up,36147.20739,35780.21744,35334.34667,36147.20739,35996,35074,35449,35996,2673.537441,2902.842794,1867.913935,2673.537441,30212,31200,30418,30212,46216,46912,39144,46216
278,curve-right-spin-Rfirst,35058.32548,34135.81197,33795.9188,35058.32548,34408,33960,33833,34408,1043.533281,1072.488133,784.0263386,1043.533281,34216,31594,31593,34216,37240,36562,35168,37240
279,run,35746.47462,36528.47759,36294.23113,35746.47462,35424,36844,36544,35424,3456.177206,5415.59554,4657.212449,3456.177206,28866,17684,20794,28866,42304,47764,44312,42304
280,stand,35025.29377,34903.89349,34915.76923,35025.29377,34996,34900,34896,34996,77.55036606,52.91918046,36.737904,77.55036606,34908,34812,34866,34908,35168,35000,35008,35168
281,lateral-shuffle-left,34738.19377,35993.82719,35896.86636,34738.19377,34666,35864,35741,34666,877.3262219,3265.207819,2601.159811,877.3262219,32848,28264,30976,32848,36848,44836,44564,36848
282,stair-down,35716.85729,35908.28304,36000.6847,35716.85729,35252,35826,36032,35252,1981.708357,2384.338218,2520.610959,1981.708357,32752,29700,27904,32752,42508,42752,42596,42508
283,curve-left-step,35336.31242,34940.62821,34908.06395,35336.31242,34908,34325,34330,34908,1336.442535,1716.455846,1652.661859,1336.442535,33166,31278,31952,33166,38696,39328,39328,38696
284,stand-to-sit,34658.33708,35906.08598,35988.81495,34658.33708,34672,35937,36260,34672,219.8032095,337.6770115,664.2604075,219.8032095,34208,35188,34692,34208,35880,36496,37076,35880
285,stair-up,34973.52973,35505.45461,35630.40053,34973.52973,34976,34680,35277,34976,448.9598249,2258.39196,2510.354769,448.9598249,33696,30344,30880,33696,36053,46072,44580,36053
286,lateral-shuffle-right,36602.91521,36623.33998,35851.86301,36602.91521,36440,35882,35616,36440,2082.263499,3256.565657,1993.070561,2082.263499,33504,31192,31960,33504,44016,46776,42740,44016
287,curve-right-spin-Rfirst,34970.47034,33703.51797,33633.62368,34970.47034,34341,33892,33744,34341,1045.463838,955.2852512,972.629525,1045.463838,33880,30710,30796,33880,37048,35148,35086,37048
288,v-cut-right-Lfirst,35643.87245,35629.6056,39894.3715,35643.87245,35668,36992,41873,35668,587.414787,5470.122539,5093.129175,587.414787,34472,25728,29361,34472,37096,42232,52496,37096
289,curve-right-step,35286.8713,35157.92412,34798.77814,35286.8713,35008,34524,34676,35008,1415.814095,1544.598483,1245.370603,1415.814095,32456,32164,32034,32456,38348,39176,37954,38348
290,sit,35939.70701,35944.6381,35939.50159,35939.70701,35940,35946,35940,35940,41.62010775,34.62229055,35.22940059,41.62010775,35853,35876,35872,35853,36031,36029,36029,36031
291,stand,34788.25393,34708.3812,34741.6423,34788.25393,34784,34708,34744,34784,82.09776467,35.82046362,20.35162077,82.09776467,34656,34632,34700,34656,34912,34797,34782,34912
292,curve-left-spin-Lfirst,34649.90969,34501.8989,36780.94066,34649.90969,34632,34517,37076,34632,213.7018683,172.4408815,835.7924745,213.7018683,34268,34167,34288,34268,35022,34924,37626,35022
293,curve-left-spin-Rfirst,34627.2,36971.53425,33907.51076,34627.2,34069,36834,34360,34069,1805.84088,734.6296962,1267.571499,1805.84088,32636,35044,29752,32636,38648,38244,35416,38648
294,lateral-shuffle-left,35017.0936,35875.58918,35467.44403,35017.0936,34472,35816,34980,34472,1514.441788,4275.237104,2930.53472,1514.441788,33216,21096,28880,33216,39632,47620,46056,39632
295,v-cut-right-Lfirst,35720.40373,35358.47678,39383.50464,35720.40373,35824,35868,39540,35824,714.8337748,4776.786931,2469.35615,714.8337748,33724,27361,33348,33724,36992,41360,42592,36992
296,jump-two-leg,35773.12343,38109.82412,34782.05025,35773.12343,35752,40212,32844,35752,1488.950784,4635.793764,4328.83129,1488.950784,33232,30296,31324,33232,37996,44425,49292,37996
297,run,35323.00109,37021.98046,36682.89251,35323.00109,35424,37624,36444,35424,2706.762819,5237.138914,4848.489392,2706.762819,29784,24452,15436,29784,42232,46292,44600,42232
298,stair-down,35586.28886,36023.60391,36065.75306,35586.28886,35092,36000,36221,35092,1974.512799,2644.683766,2692.6722,1974.512799,33252,28922,27288,33252,41573,42216,41050,41573
299,stair-down,35792.681,35977.97136,36157.05251,35792.681,35392,35778,36426,35392,2114.019618,2649.839239,2216.130527,2114.019618,33104,27689,29981,33104,41653,41990,41696,41653
300,curve-left-spin-Lfirst,34585.01602,34523.41781,36171.89041,34585.01602,34656,34528,36796,34656,297.2362484,207.9012293,1217.092701,297.2362484,34037,33934,33998,34037,35128,34876,37500,35128
301,curve-right-spin-Lfirst,34890.26694,34434.83811,35587.54918,34890.26694,34948,34424,34961,34948,562.7319664,255.815378,1260.201155,562.7319664,33897,33836,34162,33897,35780,35024,38080,35780
302,v-cut-left-Rfirst,33708.15926,35732.40665,36055.80776,33708.15926,34399,36424,35568,34399,1271.836094,2281.736502,4084.054865,1271.836094,30256,17212,17212,30256,34661,38036,46328,34661
303,stand,34903.25223,34824.96746,34897.66272,34903.25223,34908,34820,34900,34908,50.89799442,27.82238292,29.94374301,50.89799442,34788,34768,34832,34788,35000,34885,34970,35000
304,lateral-shuffle-right,35757.61749,36911.03411,35971.53342,35757.61749,35841,36937,35516,35841,1400.741942,2460.407038,2969.530186,1400.741942,32844,32123,30288,32844,38006,40656,44362,38006
305,stair-up,35606.17776,35746.73214,35482.47619,35606.17776,35248,35236,35312,35248,2860.31335,2666.975102,1990.71693,2860.31335,29193,30380,30840,29193,46485,45024,40466,46485
306,jump-two-leg,37312.51765,34032.71554,37635.0088,37312.51765,40158,32976,36758,40158,5095.568462,3246.529532,4820.844861,5095.568462,29413,31176,32860,29413,43384,48200,53461,43384
307,curve-left-spin-Rfirst,33924.75794,37380.32871,34309.12475,33924.75794,34368,37292,34280,34368,834.9586084,689.7569785,1194.10011,834.9586084,32276,34602,30956,32276,34872,38480,37016,34872
308,walk,35360.76692,35251.24457,34527.05676,35360.76692,35016,34488,34454,35016,2084.919954,1774.280275,1433.277291,2084.919954,30568,32344,30688,30568,39388,39423,37441,39388
309,curve-right-spin-Lfirst,35163.31356,34416.4186,35339.09091,35163.31356,35216,34351,34716,35216,309.6466913,312.6101335,1394.344551,309.6466913,34192,33784,34048,34192,35716,35036,38324,35716
310,curve-left-spin-Lfirst,34492.39565,34535.49675,36550.65076,34492.39565,34560,34532,37012,34560,274.6944351,231.5511365,1001.057305,274.6944351,33980,34128,34600,33980,34857,35132,37720,34857
311,curve-left-spin-Rfirst,34238.90702,37354.53598,34314.75,34238.90702,34436,37426,34472,34436,1233.650179,461.9192314,949.3772642,1233.650179,31872,36302,30493,31872,37825,38248,36302,37825
312,curve-left-spin-Rfirst,34678.63895,36749.79039,34254.28384,34678.63895,34280,37000,34472,34280,2065.356814,798.0450017,889.5961382,2065.356814,31834,34600,31318,31834,38220,37588,36036,38220
313,lateral-shuffle-right,35629.48684,35594.55585,36016.02102,35629.48684,35896,35796,35592,35896,1725.359053,3450.691409,2840.016029,1725.359053,29376,28880,31596,29376,41488,42644,44244,41488
314,curve-left-step,35419.16745,35011.28427,34658.35618,35419.16745,34888,34632,34610,34888,1216.683608,1600.983829,1122.902994,1216.683608,33138,31568,31424,33138,38240,39360,37405,38240
315,v-cut-left-Lfirst,35513.32,36734.36298,35742.3775,35513.32,34712,37976,35190,34712,1820.069253,4118.969928,1666.120118,1820.069253,33401,29168,33668,33401,40200,42016,40570,40200
316,sit-to-stand,35727.62151,36262.55666,34919.28032,35727.62151,35665,36268,34752,35665,514.8192561,420.9307514,419.4519083,514.8192561,34696,35508,34316,34696,36954,36856,35664,36954
317,v-cut-right-Lfirst,36349.02727,34498.20544,41491.96979,36349.02727,36040,32695,42228,36040,765.8048486,4360.586835,2698.074279,765.8048486,35500,28680,34786,35500,38641,41616,45616,38641
318,stair-up,35173.62316,35619.0673,35893.71083,35173.62316,34666,34920,35711,34666,2048.273361,2833.173196,2725.546129,2048.273361,31206,30556,31048,31206,40860,48668,47809,40860
319,curve-right-step,35288.50213,34791.50815,34761.35507,35288.50213,34840,34644,34512,34840,1296.799111,1789.353654,1714.994769,1296.799111,33048,29810,29426,33048,39120,39508,39508,39120
320,v-cut-left-Lfirst,34790.14889,35763.21285,38329.19679,34790.14889,34944,36786,37760,34944,564.8931761,3913.677836,2569.058053,564.8931761,33212,27740,34248,33212,36360,42276,42840,36360
321,sit,35855.15961,35842.97403,35865.17532,35855.15961,35852,35840,35860,35852,28.25104424,37.40820653,80.5071169,28.25104424,35796,35756,35684,35796,35912,35909,36024,35912
322,stand-to-sit,34945.37365,35830.25946,35534.54775,34945.37365,34964,36040,35549,34964,301.6087176,674.7696607,371.3790125,301.6087176,34299,34420,34616,34299,35565,36780,36600,35565
323,stand-to-sit,34804.56442,35805.72129,36132.3706,34804.56442,34770,35664,36132,34770,175.6841719,694.4499272,350.8360136,175.6841719,34496,34500,35364,34496,35492,37152,36932,35492
324,jump-two-leg,35763.59579,35624.68451,36939.37094,35763.59579,35826,33224,35568,35826,2437.347699,4355.048122,3716.161056,2437.347699,32588,29529,31960,32588,41096,42845,45455,41096
325,v-cut-left-Lfirst,34660.92308,35918.40404,38243.31717,34660.92308,34872,37144,37440,34872,736.8038304,3707.685777,2260.547961,736.8038304,32756,27868,34232,32756,36400,40756,42576,36400
326,v-cut-right-Rfirst,35080.1425,33976.36908,35824.3591,35080.1425,35445,34928,35149,35445,1444.359123,4389.193288,3302.895247,1444.359123,32540,10580,31524,32540,36944,45924,45924,36944
327,curve-right-step,35365.32138,34959.18853,34868.38136,35365.32138,34760,34540,34642,34760,1357.66822,1556.313724,1525.488686,1357.66822,33688,32196,30692,33688,38697,38788,37780,38697
328,curve-right-spin-Rfirst,35370.18029,33895.64017,34268.21339,35370.18029,34625,33720,34276,34625,1141.092574,1247.526657,557.0591623,1141.092574,34342,32176,32600,34342,37512,36582,35288,37512
329,curve-left-spin-Rfirst,36574.92974,35179.00935,34332.43458,36574.92974,37070,35592,34300,37070,1294.711148,1514.487556,271.8833834,1294.711148,33311,31824,33752,33311,37900,36912,34944,37900
330,lateral-shuffle-right,35278.46305,35843.68143,35798.65683,35278.46305,35364,36480,35170,35364,1763.35644,3638.381866,3799.31817,1763.35644,25869,28536,27378,25869,37876,42976,45260,37876
331,stand-to-sit,34686.47719,35607.6007,35516.50263,34686.47719,34716,35616,35589,34716,356.2998781,686.8648747,639.8337431,356.2998781,34016,34520,34152,34016,35756,36840,36840,35756
332,stair-down,35789.82413,36054.70495,35670.44369,35789.82413,35122,35872,35448,35122,2065.760026,2505.344497,2721.308403,2065.760026,32770,29592,28670,32770,42580,42144,41844,42580
333,stair-up,35453.9215,35746.20915,35383.52941,35453.9215,35056,35160,35448,35056,2702.792715,2692.919638,2150.463929,2702.792715,29924,30274,30144,29924,48770,44832,41364,48770
334,v-cut-left-Rfirst,34183.98222,35828.6918,36521.18404,34183.98222,34372,36948,35168,34372,2263.674623,3666.127151,3195.996184,2263.674623,30664,21338,32696,30664,38792,45220,45220,38792
335,curve-right-spin-Lfirst,34484.86242,34421.73975,35922.04508,34484.86242,34440,34440,35448,34440,461.7699037,197.2521705,1462.531038,461.7699037,33832,34090,34136,33832,35353,34836,38401,35353
336,stand-to-sit,34872.98347,35642.95876,36155.81856,34872.98347,34689,35436,36220,34689,366.0054528,578.6629094,518.5385057,366.0054528,34524,34716,35184,34524,35980,36544,36905,35980
337,v-cut-left-Rfirst,33480.98438,37047.53247,36284.40519,33480.98438,34176,37774,36120,34176,1439.37826,2351.332665,5575.439851,1439.37826,30544,31208,15432,30544,34832,39704,49408,34832
338,lateral-shuffle-left,34695.25323,35929.67226,35575.27484,34695.25323,34536,35580,35020,34536,1159.54513,3063.748507,2608.083778,1159.54513,33348,30002,31052,33348,38828,43072,42592,38828
339,stair-up,35493.0643,35741.93407,35562.72189,35493.0643,35256,35456,35429,35256,2352.666832,2433.072491,1822.76617,2352.666832,29965,31044,31216,29965,45036,44646,39829,45036
340,curve-left-step,35401.92262,34344.99411,35326.47275,35401.92262,34936,34292,34930,34936,1352.425253,1399.893808,2017.586359,1352.425253,32834,28728,29428,32834,38816,37104,39608,38816
341,sit,35786.54324,35787.531,35782.29111,35786.54324,35792,35786,35780,35792,33.94630736,27.01222914,27.38428039,33.94630736,35726,35744,35716,35726,35864,35848,35832,35864
342,stair-down,35845.35116,36022.81069,35655.28223,35845.35116,35504,35932,35612,35504,2162.018076,2650.069727,2289.125569,2162.018076,32882,29268,30714,32882,43668,43752,41364,43668
343,v-cut-left-Rfirst,32868.11671,37122.33862,36452.62963,32868.11671,33848,37076,36060,33848,2124.848492,1400.391623,5426.112057,2124.848492,28108,33676,16077,28108,34844,38916,50072,34844
344,stair-up,35465.95143,35765.2827,35624.73418,35465.95143,34772,35050,35360,34772,3065.332894,3069.559695,2170.237075,3065.332894,27296,27296,30628,27296,47560,45300,41616,47560
345,curve-left-spin-Rfirst,34575.1391,37096.28518,33895.60225,34575.1391,34048,37120,34284,34048,1616.734184,686.172895,1094.775982,1616.734184,32796,35128,30978,32796,38420,38624,35128,38420
346,sit,35755.95939,35712.6481,35757.3519,35755.95939,35776,35726,35768,35776,67.20829629,59.64067715,56.66752456,67.20829629,35596,35596,35644,35596,35853,35808,35885,35853
347,v-cut-right-Lfirst,35886.42045,35801.73371,38466.91501,35886.42045,35632,36724,39765,35632,681.2993781,4126.226445,3807.006518,681.2993781,35000,27504,30820,35000,37424,40769,43268,37424
348,jump-one-leg,36683.75449,35007.16418,35697.43881,36683.75449,36824,35012,34184,36824,1108.792008,4852.796948,3692.063072,1108.792008,33664,26031,30562,33664,38138,41536,46495,38138
349,curve-left-spin-Lfirst,34751.90428,34559.79397,35915.35176,34751.90428,34746,34576,36468,34746,115.6555139,246.0639321,1412.38727,115.6555139,34550,34100,34170,34550,35044,34944,37832,35044
350,sit,35817.44828,35822.02062,35821.67698,35817.44828,35822,35820,35820,35822,30.36466509,58.94169756,51.91922226,30.36466509,35768,35676,35708,35768,35872,35908,35912,35872
351,stand-to-sit,34646.08083,35540.28893,36188.94559,34646.08083,34810,35628,36204,34810,417.2420423,804.1542485,503.3545019,417.2420423,33913,34188,35276,33913,36148,36736,36966,36148
352,v-cut-left-Lfirst,34754.42209,35683.23622,38205.94094,34754.42209,34628,37217,38192,34628,673.1990962,3369.318413,2386.137526,673.1990962,33732,29400,34540,33732,36944,40640,42152,36944
353,jump-one-leg,35124.67505,35025.4728,36393.9205,35124.67505,34895,34760,35276,34895,1784.71517,4663.601414,3564.800392,1784.71517,32224,23836,29465,32224,38612,42068,45060,38612
354,jump-one-leg,36547.95719,35447.06098,35701.38415,36547.95719,36452,34176,34378,36452,1085.774527,4365.083329,3581.44652,1085.774527,34377,28980,31144,34377,38884,41432,45864,38884
355,stand-to-sit,34816.19091,35174.71869,36293.75681,34816.19091,34752,35068,36489,34752,279.8622643,505.1540564,547.3860254,279.8622643,34354,34240,35320,34354,35332,36640,37060,35332
356,lateral-shuffle-left,35153.62176,35559.86287,35675.77749,35153.62176,34660,35212,35404,34660,1429.514262,3175.014399,2962.915163,1429.514262,33692,26098,25796,33692,39456,43504,43600,39456
357,lateral-shuffle-left,34857.64083,36127.41935,35497.76774,34857.64083,34489,35744,35052,34489,1228.03513,3081.972532,2322.679172,1228.03513,33426,31852,31052,33426,39168,46140,42628,39168
358,lateral-shuffle-left,35175.85,35653.20111,35618.59917,35175.85,34432,34722,35684,34432,1909.300595,3561.831625,2594.671756,1909.300595,32256,29648,30556,32256,39956,46608,44336,39956
359,curve-right-spin-Lfirst,34805.94748,34528.98253,35555.03057,34805.94748,34829,34540,34744,34829,310.7695624,163.7929649,1299.811487,310.7695624,34206,34226,34244,34206,35332,34933,38648,35332
360,curve-left-spin-Lfirst,34626.37759,34593.76812,37054.02484,34626.37759,34602,34665,37212,34602,175.0526459,390.1641638,488.1274613,175.0526459,34300,33960,35488,34300,34992,35488,37672,34992
361,v-cut-right-Rfirst,35082.20189,34589.43396,37010.91195,35082.20189,34844,34888,37872,34844,883.1166564,1382.898089,6267.773849,883.1166564,33980,30892,9893,33980,37680,37680,46304,37680
362,stair-up,35160.03382,35528.96943,36042.90587,35160.03382,34836,35336,35556,34836,1257.326592,2757.666393,2383.706558,1257.326592,33545,29672,31136,33545,38742,48264,44980,38742
363,curve-left-step,35405.4922,34736.95606,34690.764,35405.4922,34981,34464,34636,34981,1453.313639,1724.293563,1527.041761,1453.313639,32212,31384,30089,32212,39241,39538,37588,39241
364,v-cut-left-Lfirst,35110.85427,36992,35890.73579,35110.85427,34804,38040,35772,34804,1079.975376,3689.931636,1441.017015,1079.975376,33776,29029,34032,33776,38092,41872,39264,38092
365,curve-right-spin-Lfirst,34836.48945,34266.51789,35953.6,34836.48945,35018,34380,35032,35018,497.7358301,279.4163696,1579.734037,497.7358301,33540,33384,34192,33540,35516,35000,38492,35516
366,v-cut-right-Rfirst,34646.29121,33053.28767,36810.73425,34646.29121,34784,33984,36336,34784,577.017799,3706.072017,3060.547066,577.017799,33500,12736,31356,33500,35628,35032,43812,35628
367,run,35162.49838,37164.82974,36730.91595,35162.49838,34956,38104,36484,34956,2471.285481,5350.376079,5099.227463,2471.285481,29972,21408,15356,29972,41913,47515,45888,41913
368,v-cut-right-Lfirst,35665.17647,36425.12849,37469.32961,35665.17647,35680,37020,39796,35680,421.5030685,4178.216296,4802.697031,421.5030685,34962,26440,27214,34962,36392,42204,43736,36392
369,sit-to-stand,35805.81818,35866.39092,35939.94939,35805.81818,35808,35792,35936,35808,40.05379681,655.8888892,638.4568118,40.05379681,35682,34483,34661,35682,35880,36740,36880,35880
370,stand-to-sit,34596.02672,35198.42857,36091.91238,34596.02672,34656,35216,36288,34656,198.2823644,617.1226303,670.5815893,198.2823644,34106,33964,34896,34106,34836,36224,37100,34836
371,jump-two-leg,36238.77432,35615.6932,36903.70485,36238.77432,36353,33288,35585,36353,2189.131232,4136.811111,3904.42821,2189.131232,32747,30912,31684,32747,40012,42604,45935,40012
372,v-cut-left-Lfirst,35153.61368,36567.52209,37611.79518,35153.61368,34669,37496,37744,34669,1220.013924,4431.324469,2228.343997,1220.013924,33709,28840,33984,33709,38692,43152,42416,38692
373,jump-one-leg,35931.31656,34926.09205,36529.04184,35931.31656,36412,33913,36436,36412,1521.630024,3689.167277,2938.698287,1521.630024,32956,27833,29241,32956,37738,41508,43080,37738
374,curve-right-step,35061.27989,34669.01546,35077.11455,35061.27989,34768,34208,34532,34768,1037.071089,1598.490752,1964.753865,1037.071089,33120,31124,30144,33120,38720,38268,39104,38720
375,lateral-shuffle-right,35492.14555,36416.4253,35933.88964,35492.14555,35428,35873,34872,35428,1327.721838,3283.63784,3405.937968,1327.721838,33336,28304,30850,33336,43368,43368,45376,43368
376,v-cut-left-Rfirst,34079.44461,35542.03392,36229.75516,34079.44461,34412,36152,35228,34412,733.2420138,4890.863016,4396.732662,733.2420138,31553,13674,31840,31553,34536,49876,55972,34536
377,walk,35337.08805,35078.05436,34957.66237,35337.08805,35012,34713,34344,35012,1526.456768,1722.141317,1788.239632,1526.456768,31864,31232,31336,31864,39120,39342,39636,39120
378,v-cut-right-Lfirst,36175.70642,34523.40854,40012.79268,36175.70642,35642,34052,39920,35642,1224.860986,4890.012685,2709.266462,1224.860986,34893,26178,30432,34893,39916,42504,46312,39916
379,curve-right-step,35348.72353,34667.75568,34936.14631,35348.72353,34864,34264,34668,34864,1362.314252,1560.039821,1622.066856,1362.314252,33264,31272,30861,33264,38792,39080,38076,38792
380,curve-right-spin-Lfirst,34999.62195,34389.72819,35660.58418,34999.62195,34992,34372,34764,34992,363.8930364,225.9397519,1436.665502,363.8930364,34312,33976,34128,34312,35784,34850,38061,35784
381,v-cut-left-Rfirst,34143.73214,36901.66733,35191.10495,34143.73214,34390,37824,34976,34390,1876.641738,4671.571902,2004.833686,1876.641738,31264,17338,31912,31264,38000,46260,41024,38000
382,run,35016.0835,37373.50339,37006.51018,35016.0835,34896,38536,37088,34896,2746.916735,5110.538656,4755.602861,2746.916735,28192,20308,18108,28192,42288,47980,45672,42288
383,jump-one-leg,35621.4,35550.54501,36324.45255,35621.4,36032,37508,36053,36032,1970.767605,3812.389157,3748.956701,1970.767605,32228,29288,25872,32228,38604,41312,46196,38604
384,curve-left-spin-Rfirst,34333.17578,37340.45614,34306.83821,34333.17578,34528,37500,34152,34528,1128.09636,446.9247683,1134.102915,1128.09636,32312,36592,30394,32312,37938,38216,36787,37938
385,lateral-shuffle-left,35141.98519,35806.98397,35741.71393,35141.98519,34442,35560,35608,34442,1709.564469,2760.672806,2429.719584,1709.564469,33260,30722,31386,33260,39825,43360,41300,39825
386,curve-right-spin-Rfirst,35015.68496,34403.03448,33543.69574,35015.68496,34374,33832,33900,34374,1330.390048,1171.01977,1167.603376,1330.390048,33730,31272,30368,33730,37840,37212,35176,37840
387,v-cut-right-Rfirst,34185.95536,36053.56863,35073.35116,34185.95536,34140,36388,34498,34140,461.69582,1000.318021,4273.466686,461.69582,33420,33152,15917,33420,35229,37668,42076,35229
388,sit-to-stand,35566.91461,36437.36742,35552.85227,35566.91461,35756,36568,35464,35756,453.5906329,382.209994,428.1581454,453.5906329,34085,34570,34892,34085,35972,36928,36140,35972
389,v-cut-right-Lfirst,36339.73837,34935.7913,40622.30145,36339.73837,36500,34432,40144,36500,581.6617054,4230.54455,2483.464873,581.6617054,35548,28632,30948,35548,38308,41452,48608,38308
390,sit,35850.1697,35844.32628,35848.29909,35850.1697,35856,35844,35852,35856,30.15050882,28.35749921,28.0195489,30.15050882,35784,35788,35804,35784,35900,35888,35920,35900
391,curve-right-spin-Rfirst,35093.0339,34060.04651,33495.51163,35093.0339,34564,33684,33944,34564,1350.559091,752.4963356,1596.275052,1350.559091,33433,33244,29320,33433,37708,35920,35904,37708
392,curve-left-spin-Lfirst,34571.64497,34800.16929,36808.01575,34571.64497,34612,34588,37104,34612,192.2643113,682.258356,730.6175063,192.2643113,34033,34144,34692,34033,34796,37176,37708,34796
393,walk,35339.67176,34507.11365,35113.62014,35339.67176,34774,34264,34752,34774,1500.37322,1727.849735,1933.425516,1500.37322,32504,30416,30290,32504,39090,39269,39636,39090
394,curve-left-spin-Lfirst,34502.33617,34427.48195,36972.98726,34502.33617,34441,34500,37168,34441,180.7962894,289.9813626,608.7942494,180.7962894,34272,33597,35114,34272,34924,35114,37688,34924
395,sit-to-stand,35409.5572,36264.99816,35048.40516,35409.5572,35520,36180,35108,35520,303.2278894,421.7073822,476.2771544,303.2278894,34602,35568,34324,34602,35708,36960,35757,35708
396,curve-left-step,35402.30949,34708.47423,34699.54089,35402.30949,34852,34488,34588,34852,1343.737187,1709.478737,1468.643862,1343.737187,33353,30344,28536,33353,38868,39428,37476,38868
397,curve-right-spin-Lfirst,35088.5641,34454.18504,36145.74016,35088.5641,35160,34400,35524,35160,535.3541561,250.05938,1623.923421,535.3541561,34256,34032,34304,34256,36040,35062,38940,36040
398,stair-down,35819.15096,35955.55972,35896.9251,35819.15096,35172,35964,35976,35172,1873.946474,2536.671133,2531.83153,1873.946474,32996,28955,29153,32996,42640,42680,42348,42640
399,stair-down,35617.4429,36023.12523,36021.718,35617.4429,34920,36172,35900,34920,1972.994214,2561.828755,2459.039416,1972.994214,32936,26885,30834,32936,41928,42476,42342,41928
400,curve-left-step,35489.05793,35046.84218,34850.98139,35489.05793,34982,34545,34776,34982,1341.501077,1640.949921,1308.569055,1341.501077,33188,31248,30436,33188,38776,39028,38128,38776
401,curve-left-spin-Lfirst,34756.93082,34507.58787,36340.28452,34756.93082,34776,34498,37132,34776,201.1584032,241.2120939,1411.283533,201.1584032,34382,33908,33848,34382,35128,35000,37956,35128
402,curve-left-spin-Lfirst,34606.82988,34609.71843,36321.39545,34606.82988,34601,34620,36796,34601,148.2796289,318.3858528,1243.129947,148.2796289,34344,33804,34080,34344,35008,35044,37772,35008
403,lateral-shuffle-left,35086.02046,36012.52874,35757.38186,35086.02046,34589,36116,35620,34589,1627.283394,2963.426037,2685.477032,1627.283394,32706,29932,29616,32706,39757,43596,44676,39757
404,curve-left-spin-Rfirst,34937.85315,36076.93194,34049.4171,34937.85315,34284,36244,34336,34284,1871.004765,1366.238484,947.2450976,1871.004765,32500,28104,28104,32500,37976,37392,34884,37976
405,sit-to-stand,35770.83289,35887.96825,36461.30688,35770.83289,35760,35652,36570,35760,110.1783186,776.2526928,352.8385854,110.1783186,35484,34612,35840,35484,36029,37008,36992,36029
406,walk,35511.4704,34626.90328,34848.51479,35511.4704,34925,34393,34696,34925,1645.555975,1832.291968,1801.287514,1645.555975,32584,31360,30057,32584,39412,39700,37576,39412
407,curve-right-spin-Rfirst,35149.57778,33885.44568,34292.79601,35149.57778,34668,33968,34092,34668,1317.0122,1113.000201,598.8655669,1317.0122,33488,31504,33536,33488,37352,35936,35801,37352
408,walk,35170.9792,34740.43165,35341.84492,35170.9792,34798,34396,34844,34798,1531.051244,1599.754388,1920.84105,1531.051244,32468,31369,30736,32468,39218,39640,39976,39218
